3; Japan;4309532;1.2
4; India;4060392;5.5
5; Germany;2940434;0.5
6; Russia;2222957;1.9
7; United Kingdom;2172768;0.3
8; Brazil;2172058;2.3
9; France;2145487;0.2
10; Italy;1773547;0.9
11; Mexico;1567470;3.3
12; South Korea;1459246;0.9
13; Spain;1368642;1.9
14; Canada;1330272;0.8
15; Indonesia;1029884;3.9
16; Turkey;960511;2.3
17; Australia;882362;1.0
18; Republic of China (Taiwan);821781;4.5
19; Iran;818653;6.9
20; Poland;721319;3.4
21; Netherlands;676895;0.3
22; Argentina;642402;1.4
23; Saudi Arabia;621993;1.8
24; Thailand;586877;3.6
25; South Africa;523954;1.6
26; Egypt;497781;3.2
27; Pakistan;464897;7.6
28; Colombia;435367;3.9
29; Malaysia;414428;5.1
30; Belgium;394346;0.5
31; Nigeria;377949;6.8
32; Sweden;354716;0.4
33; Philippines;351370;2.8
